epoch,accuracy,loss,val_accuracy,val_loss
0,0.5460788011550903,3.003979206085205,NA,NA
1,0.5908926725387573,0.6782643795013428,NA,NA
2,0.6011926531791687,0.6599929928779602,NA,NA
3,0.6396819949150085,0.6288158297538757,NA,NA
4,0.6640766263008118,0.6028357744216919,NA,NA
5,0.6989519596099854,0.5576956272125244,NA,NA
6,0.74232017993927,0.504893958568573,NA,NA
7,0.7824358344078064,0.445468932390213,NA,NA
8,0.8084568381309509,0.4149905741214752,NA,NA
9,0.8435128331184387,0.353213906288147,NA,NA
